City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
366,Ayer Keroh,MY,82.65,moderate rain,2.2566,102.2866,Kings Hotel Melaka
367,Kloulklubed,PW,86.5,broken clouds,7.0419,134.2556,Storyboard Beach Resort
368,Brigantine,US,74.01,clear sky,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
370,Buraydah,SA,87.69,broken clouds,26.326,43.975,فندق راحة السلام
371,Lafia,NG,72.0,overcast clouds,8.4833,8.5167,Low Cost Housing Estate
372,Mana,GF,76.87,overcast clouds,5.6592,-53.7767,LE SAMANA
373,Ocos,GT,83.32,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
377,Samtredia,GE,70.07,few clouds,42.1537,42.3352,Temuri's Apartment
378,Pipri,IN,74.48,overcast clouds,19.8,75.5333,Sukhana River nilu and rushi home
380,Evinayong,GQ,64.83,broken clouds,1.4368,10.5512,Hotel Don Patricio
381,Half Moon Bay,US,85.75,scattered clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
383,Canavieiras,BR,72.64,clear sky,-15.675,-38.9472,Bahiadomizil
384,Ancona,IT,80.35,scattered clouds,43.55,13.1667,Casa Vandina - B&B
385,Sitka,US,64.27,few clouds,57.0531,-135.33,Westmark Sitka
390,Vilyuysk,RU,69.98,few clouds,63.7553,121.6247,Gostinitsa Viliuisk
391,Sarrebourg,FR,60.85,clear sky,48.7333,7.05,ibis budget Sarrebourg Buhl
392,Nynashamn,SE,63.16,clear sky,58.9034,17.9479,Nynäs Havsbad
393,Saint-Joseph,RE,66.58,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
394,Kamien Pomorski,PL,64.94,clear sky,53.9685,14.7726,Mieszko II
396,Beaver Dam,US,80.94,clear sky,43.4578,-88.8373,"AmericInn by Wyndham, Beaver Dam"
397,Zhezkazgan,KZ,73.08,overcast clouds,47.8043,67.7144,Hotel Zumrat
398,Hopatcong,US,71.85,clear sky,40.9329,-74.6593,"Holiday Inn Express & Suites Mount Arlington-Rockaway Area, an IHG Hotel"
399,Kure,JP,87.48,clear sky,34.2333,132.5667,Kure Station Hotel
401,Cayenne,GF,77.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
402,Pekan,MY,83.7,light rain,3.4836,103.3996,Pekan Budget Hotel
404,Khuzdar,PK,82.18,overcast clouds,27.7384,66.6434,jhalwan Rent A Car Moola Chotok Boking Office
405,Bodden Town,KY,86.0,scattered clouds,19.2833,-81.25,Will T Place
406,Esqueda,MX,74.64,overcast clouds,30.7167,-109.5833,Hotel Esqueda
